Source,Target
ABZ,LGW
ABZ,LTN
ACE,LGW
ACE,LPL
ADB,LGW
AGA,CDG
AGA,LGW
AGA,LYS
AGA,SXF
AGP,BFS
AGP,BRS
AGP,BSL
AGP,CDG
AGP,GLA
AGP,GVA
AGP,LGW
AGP,LPL
AGP,LTN
AGP,MAN
AGP,MXP
AGP,NCL
AGP,SEN
AGP,STN
AGP,SXF
AJA,GVA
ALC,BFS
ALC,BRS
ALC,BSL
ALC,EDI
ALC,GLA
ALC,GVA
ALC,LGW
ALC,LPL
ALC,LTN
ALC,MAN
ALC,NCL
ALC,SEN
AMM,LGW
AMS,BFS
AMS,BRS
AMS,BSL
AMS,EDI
AMS,FCO
AMS,GLA
AMS,GVA
AMS,LGW
AMS,LIS
AMS,LPL
AMS,LTN
AMS,MAN
AMS,MXP
AMS,NCL
AMS,PRG
AMS,SEN
AMS,STN
AMS,SXF
ARN,GVA
ATH,EDI
ATH,FCO
ATH,LGW
ATH,MAN
ATH,MXP
ATH,SXF
AYT,BSL
AYT,LGW
AYT,MAN
BCN,BFS
BCN,BRS
BCN,BSL
BCN,CDG
BCN,GVA
BCN,LGW
BCN,LPL
BCN,LTN
BCN,LYS
BCN,MXP
BCN,NCE
BCN,NCL
BCN,SEN
BCN,SXF
BDS,GVA
BDS,MXP
BEG,MXP
BES,LYS
BFS,AGP
BFS,ALC
BFS,AMS
BFS,BCN
BFS,BHX
BFS,BRS
BFS,CDG
BFS,EDI
BFS,FAO
BFS,GLA
BFS,KRK
BFS,LGW
BFS,LPL
BFS,LTN
BFS,MAN
BFS,MLA
BFS,NCL
BFS,SEN
BFS,STN
BGO,LGW
BHX,BFS
BIO,LIS
BIO,MAN
BIO,STN
BIQ,CDG
BJV,LGW
BLQ,CDG
BLQ,LGW
BOD,BSL
BOD,GVA
BOD,LGW
BOD,LIL
BOD,LIS
BOD,LTN
BOD,LYS
BOD,MXP
BOD,NCE
BRI,LGW
BRI,MXP
BRS,AGP
BRS,ALC
BRS,AMS
BRS,BCN
BRS,BFS
BRS,CDG
BRS,CPH
BRS,DLM
BRS,EDI
BRS,FAO
BRS,FCO
BRS,FNC
BRS,FUE
BRS,GLA
BRS,GVA
BRS,INV
BRS,KRK
BRS,LIS
BRS,MAD
BRS,MJV
BRS,NCE
BRS,NCL
BRS,PFO
BRS,PMI
BRS,PRG
BRS,PSA
BRS,SXF
BRS,TFS
BRS,TLS
BRU,BSL
BRU,GVA
BRU,LYS
BRU,MXP
BRU,NCE
BRU,SXF
BRU,TLS
BSL,AGP
BSL,ALC
BSL,AMS
BSL,AYT
BSL,BCN
BSL,BOD
BSL,BRU
BSL,BUD
BSL,CPH
BSL,DRS
BSL,DUS
BSL,EDI
BSL,FCO
BSL,FUE
BSL,HAM
BSL,KRK
BSL,LGW
BSL,LIS
BSL,LPA
BSL,MAD
BSL,MAN
BSL,NAP
BSL,NCE
BSL,NTE
BSL,OPO
BSL,PMI
BSL,PRN
BSL,RAK
BSL,SAW
BSL,SCQ
BSL,SXF
BSL,TFS
BSL,TLS
BSL,TLV
BSL,VCE
BUD,BSL
BUD,CDG
BUD,GVA
BUD,LGW
BUD,LTN
BUD,SXF
CAG,MXP
CAG,STN
CDG,AGA
CDG,AGP
CDG,BCN
CDG,BFS
CDG,BIQ
CDG,BLQ
CDG,BRS
CDG,BUD
CDG,CMN
CDG,CPH
CDG,CTA
CDG,EDI
CDG,FEZ
CDG,GLA
CDG,KRK
CDG,LIS
CDG,LPL
CDG,LTN
CDG,MAD
CDG,MXP
CDG,NAP
CDG,NCE
CDG,OPO
CDG,PRG
CDG,RAK
CDG,TLS
CDG,TNG
CDG,VCE
CFU,LGW
CFU,MAN
CGN,LGW
CMN,CDG
CMN,LYS
CMN,MXP
CPH,BRS
CPH,BSL
CPH,CDG
CPH,EDI
CPH,FCO
CPH,GVA
